name,lens,inner,,,,,
iP011_OD_frame1002.png,1,1,,,,,
iP011_OD_frame1005.png,1,1,,,,,
iP011_OD_frame1008.png,1,1,,,,,
iP011_OD_frame1011.png,1,1,,,,,
iP011_OD_frame1014.png,1,1,,,,,
iP011_OD_frame1017.png,1,1,,,,,
iP011_OD_frame1020.png,0,1,,,,,
iP011_OD_frame1023.png,0,0,,,,,
iP011_OD_frame1026.png,0,0,,,,,
iP011_OD_frame1041.png,0,0,,,,,
iP011_OD_frame1047.png,0,0,,,,,
iP011_OD_frame1050.png,0,0,,,,,
iP011_OD_frame1053.png,1,0,,,,,
iP011_OD_frame1056.png,1,0,,,,,
iP011_OD_frame1059.png,0,0,,,,,
iP011_OD_frame1062.png,1,0,,,,,
iP011_OD_frame1074.png,0,0,,,,,
iP011_OD_frame1077.png,0,0,,,,,
iP011_OD_frame1083.png,1,0,,,,,
iP011_OD_frame1086.png,0,0,,,,,
iP011_OD_frame1092.png,0,0,,,,,
iP011_OD_frame1098.png,0,0,,,,,
iP011_OD_frame1101.png,0,0,,,,,
iP011_OD_frame1104.png,0,0,,,,,
iP011_OD_frame1119.png,1,1,,,,,
iP011_OD_frame1122.png,1,1,,,,,
iP011_OD_frame1125.png,0,1,,,,,
iP011_OD_frame1128.png,1,1,,,,,
iP011_OD_frame1131.png,1,1,,,,,
iP011_OD_frame1134.png,1,1,,,,,
iP011_OD_frame1137.png,0,1,,,,,
iP011_OD_frame1140.png,1,1,,,,,
iP011_OD_frame1143.png,1,1,,,,,
iP011_OD_frame1146.png,1,1,,,,,
iP011_OD_frame1149.png,1,1,,,,,
iP011_OD_frame1152.png,0,1,,,,,
iP011_OD_frame1155.png,1,1,,,,,
iP011_OD_frame1158.png,1,1,,,,,
iP011_OD_frame1161.png,1,1,,,,,
iP011_OD_frame1164.png,1,1,,,,,
iP011_OD_frame1167.png,1,1,,,,,
iP011_OD_frame1170.png,1,1,,,,,
iP011_OD_frame1173.png,1,1,,,,,
